city_id,city,country,date,latitude,longitude,max_temp,humidity,clouds,wind
277,Bongaree,AU,2022-06-04 18:42:39,-27.0797,153.1586,52.39,76,99,5.23
278,Matay,EG,2022-06-04 18:42:39,28.419,30.7792,90.48,19,0,5.26
279,Faanui,PF,2022-06-04 18:42:40,-16.4833,-151.75,80.15,74,93,15.43
280,Fairbanks,US,2022-06-04 18:43:40,64.8378,-147.7164,71.1,41,20,12.66
281,Iralaya,HN,2022-06-04 18:43:41,15.0,-83.2333,83.7,76,100,5.14
282,Kungurtug,RU,2022-06-04 18:43:41,50.5994,97.5228,46.06,52,52,3.69
283,Alice Springs,AU,2022-06-04 18:43:42,-23.7,133.8833,47.75,93,85,0.0
284,Manitouwadge,CA,2022-06-04 18:43:42,49.1215,-85.8403,58.05,45,94,9.19
285,Esperance,AU,2022-06-04 18:39:25,-33.8667,121.9,53.44,71,97,20.74
286,Rota,ES,2022-06-04 18:43:43,36.6224,-6.3586,72.21,73,20,11.5
287,Arawa,PG,2022-06-04 18:43:44,-6.2132,155.5367,77.9,80,96,2.26
288,Dali,CN,2022-06-04 18:43:44,25.7,100.1833,62.11,94,36,5.41
289,Lompoc,US,2022-06-04 18:43:45,34.6391,-120.4579,69.85,81,100,13.0
290,Asfi,MA,2022-06-04 18:43:45,32.2994,-9.2372,68.86,70,92,21.94
291,Betsiamites,CA,2022-06-04 18:43:46,48.9413,-68.646,54.0,84,100,9.4
292,Viedma,AR,2022-06-04 18:43:46,-40.8135,-62.9967,52.84,50,100,14.14
293,Nichinan,JP,2022-06-04 18:43:47,31.6,131.3667,68.13,91,99,4.47
